Date,Open,High,Low,Close,Volume
02/09/2024,"2,335.00","2,335.00","2,305.00","2,315.00","3,991,935"
02/08/2024,"2,375.00","2,380.00","2,340.00","2,340.00","7,357,052"
02/07/2024,"2,355.00","2,365.00","2,340.00","2,365.00","1,985,107"
02/06/2024,"2,350.00","2,360.00","2,315.00","2,355.00","1,728,880"
02/05/2024,"2,325.00","2,335.00","2,305.00","2,320.00","1,307,406"
02/02/2024,"2,325.00","2,340.00","2,320.00","2,320.00","1,329,585"
02/01/2024,"2,370.00","2,400.00","2,325.00","2,345.00","2,856,567"
01/31/2024,"2,380.00","2,395.00","2,335.00","2,335.00","5,674,933"
01/30/2024,"2,375.00","2,400.00","2,375.00","2,390.00","2,041,122"
01/29/2024,"2,345.00","2,400.00","2,345.00","2,395.00","3,334,508"
01/26/2024,"2,365.00","2,400.00","2,350.00","2,400.00","5,063,796"
01/25/2024,"2,300.00","2,355.00","2,300.00","2,355.00","8,059,422"
01/24/2024,"2,310.00","2,310.00","2,280.00","2,290.00","4,840,887"
01/23/2024,"2,255.00","2,300.00","2,255.00","2,295.00","4,438,261"
01/22/2024,"2,265.00","2,280.00","2,250.00","2,265.00","3,094,068"
01/19/2024,"2,295.00","2,295.00","2,250.00","2,280.00","4,223,169"
01/18/2024,"2,320.00","2,320.00","2,290.00","2,300.00","4,888,401"
01/17/2024,"2,320.00","2,325.00","2,305.00","2,315.00","5,092,743"
01/16/2024,"2,370.00","2,370.00","2,320.00","2,335.00","4,253,709"
01/15/2024,"2,375.00","2,375.00","2,360.00","2,375.00","427,263"
01/12/2024,"2,370.00","2,390.00","2,360.00","2,375.00","2,884,748"
01/11/2024,"2,370.00","2,375.00","2,350.00","2,355.00","1,809,844"
01/10/2024,"2,380.00","2,390.00","2,345.00","2,345.00","3,053,737"
01/09/2024,"2,425.00","2,425.00","2,385.00","2,395.00","6,205,275"
01/05/2024,"2,420.00","2,450.00","2,420.00","2,445.00","2,593,112"
01/04/2024,"2,440.00","2,450.00","2,405.00","2,405.00","7,680,764"
01/03/2024,"2,365.00","2,420.00","2,360.00","2,420.00","2,824,764"
01/02/2024,"2,340.00","2,370.00","2,335.00","2,355.00","740,229"
12/28/2023,"2,320.00","2,340.00","2,300.00","2,340.00","1,282,756"
12/27/2023,"2,360.00","2,365.00","2,320.00","2,320.00","1,521,621"
12/26/2023,"2,360.00","2,370.00","2,335.00","2,360.00","2,872,866"
12/22/2023,"2,355.00","2,375.00","2,335.00","2,350.00","4,392,751"
12/21/2023,"2,315.00","2,370.00","2,315.00","2,355.00","6,531,896"
12/20/2023,"2,380.00","2,380.00","2,315.00","2,335.00","5,785,343"
12/19/2023,"2,365.00","2,385.00","2,340.00","2,370.00","7,175,601"
12/18/2023,"2,400.00","2,400.00","2,340.00","2,340.00","2,216,390"
12/15/2023,"2,500.00","2,500.00","2,365.00","2,365.00","5,102,460"
12/14/2023,"2,500.00","2,595.00","2,500.00","2,555.00","6,758,435"
12/13/2023,"2,490.00","2,515.00","2,460.00","2,500.00","4,871,093"
12/12/2023,"2,500.00","2,510.00","2,460.00","2,460.00","3,633,423"
12/11/2023,"2,510.00","2,560.00","2,505.00","2,510.00","3,834,050"
12/07/2023,"2,465.00","2,500.00","2,465.00","2,465.00","3,090,924"
12/06/2023,"2,510.00","2,525.00","2,455.00","2,455.00","4,633,742"
12/05/2023,"2,530.00","2,550.00","2,515.00","2,515.00","4,096,468"
12/04/2023,"2,540.00","2,545.00","2,500.00","2,545.00","2,766,644"
12/01/2023,"2,530.00","2,550.00","2,530.00","2,545.00","1,148,199"
11/30/2023,"2,570.00","2,590.00","2,510.00","2,520.00","2,879,024"
11/29/2023,"2,555.00","2,555.00","2,535.00","2,535.00","2,550,560"
11/28/2023,"2,520.00","2,555.00","2,520.00","2,540.00","1,439,171"
11/27/2023,"2,475.00","2,545.00","2,475.00","2,520.00","3,056,721"
11/24/2023,"2,520.00","2,575.00","2,520.00","2,575.00","6,234,950"
11/23/2023,"2,520.00","2,520.00","2,480.00","2,500.00","685,504"
11/22/2023,"2,515.00","2,520.00","2,480.00","2,515.00","3,351,513"
11/21/2023,"2,505.00","2,550.00","2,500.00","2,545.00","3,394,906"
11/20/2023,"2,505.00","2,550.00","2,480.00","2,500.00","4,925,112"
11/17/2023,"2,420.00","2,535.00","2,420.00","2,480.00","15,778,980"
11/16/2023,"2,400.00","2,405.00","2,360.00","2,395.00","7,083,452"
11/15/2023,"2,380.00","2,405.00","2,380.00","2,395.00","5,642,606"
11/14/2023,"2,385.00","2,390.00","2,360.00","2,370.00","2,136,750"
11/10/2023,"2,355.00","2,365.00","2,320.00","2,350.00","2,714,615"
11/09/2023,"2,350.00","2,425.00","2,350.00","2,350.00","3,248,223"
11/08/2023,"2,350.00","2,385.00","2,325.00","2,335.00","3,140,392"
